category,link
mens_topwear,https://www.flipkart.com/clothing-and-accessories/topwear/tshirt/men-tshirt/pr?sid=clo%2Cash%2Cank%2Cedy&otracker=categorytree&otracker=nmenu_sub_Men_0_T-Shirts&page=
mens_shirt,https://www.flipkart.com/clothing-and-accessories/topwear/shirt/men-shirt/formal-shirt/pr?sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&otracker=categorytree&otracker=nmenu_sub_Men_0_Formal+Shirts&page=
mens_formal_shirt,https://www.flipkart.com/clothing-and-accessories/topwear/shirt/men-shirt/formal-shirt/pr?sid=clo%2Cash%2Caxc%2Cmmk%2Cbk1&otracker=categorytree&otracker=nmenu_sub_Men_0_Formal+Shirts&page=
mens_casual,https://www.flipkart.com/clothing-and-accessories/topwear/shirt/men-shirt/casual-shirt/pr?sid=clo%2Cash%2Caxc%2Cmmk%2Ckp7&otracker=categorytree&otracker=nmenu_sub_Men_0_Casual+Shirts&page=
mens_jeans,https://www.flipkart.com/clothing-and-accessories/bottomwear/jeans/men-jeans/pr?sid=clo%2Cvua%2Ck58%2Ci51&otracker=categorytree&otracker=nmenu_sub_Men_0_Jeans&page=
mens_casualtrousers,https://www.flipkart.com/mens-clothing/trousers/pr?sid=2oq%2Cs9b%2C9uj&otracker=nmenu_sub_Men_0_Casual+Trousers&page=
mens_formaltrousers,https://www.flipkart.com/clothing-and-accessories/bottomwear/trouser/men-trouser/pr?sid=clo%2Cvua%2Cmle%2Clhk&otracker=categorytree&p%5B%5D=facets.occasion%255B%255D%3DFormal&otracker=nmenu_sub_Men_0_Formal+Trousers&page=
mens_tracks,https://www.flipkart.com/clothing-and-accessories/bottomwear/track-pants/men-track-pants/pr?sid=clo%2Cvua%2Cjlk%2C6ql&otracker=categorytree&otracker=nmenu_sub_Men_0_Track+pants&page=
mens_shorts,https://www.flipkart.com/clothing-and-accessories/bottomwear/shorts/men-shorts/pr?sid=clo%2Cvua%2Ce8g%2Ckc7&otracker=categorytree&otracker=nmenu_sub_Men_0_Shorts&page=
mens_cargo,https://www.flipkart.com/clothing-and-accessories/bottomwear/cargo/men-cargo/pr?sid=clo%2Cvua%2Crqy%2Cnli&otracker=categorytree&otracker=nmenu_sub_Men_0_Cargos&page=
mens_threefourths,https://www.flipkart.com/clothing-and-accessories/bottomwear/threefourths/men-threefourths/pr?sid=clo%2Cvua%2Ceum%2C4qq&otracker=categorytree&otracker=nmenu_sub_Men_0_Three+Fourths&page=
mens_blazer,https://www.flipkart.com/clothing-and-accessories/blazers-suits-waistcoat-coat/pr?sid=clo%2Cupk&otracker=categorytree&p%5B%5D=facets.ideal_for%255B%255D%3DMen&otracker=nmenu_sub_Men_0_Suits%2C+Blazers+%26+Waistcoats&page=
scoks,https://www.flipkart.com/clothing-and-accessories/clothing-accessories/pr?sid=clo%2Cqd8&p%5B%5D=facets.ideal_for%255B%255D%3DMen&p%5B%5D=facets.ideal_for%255B%255D%3Dmen&p%5B%5D=facets.ideal_for%255B%255D%3Dmen&otracker=categorytree&otracker=nmenu_sub_Men_0_Ties%2C+Socks%2C+Caps+%26+More&page=
sweatshirts,https://www.flipkart.com/clothing-and-accessories/winter-wear/sweatshirt/men-sweatshirt/pr?sid=clo%2Cqvw%2C64a%2Cvui&otracker=categorytree&otracker=nmenu_sub_Men_0_Sweatshirts&page=
jackets,https://www.flipkart.com/clothing-and-accessories/winter-wear/jackets/men-jackets/pr?sid=clo%2Cqvw%2Cz0g%2Cjbm&otracker=categorytree&otracker=nmenu_sub_Men_0_Jackets&page=
sweaters,https://www.flipkart.com/clothing-and-accessories/winter-wear/sweater/men-sweater/pr?sid=clo%2Cqvw%2Cvkb%2Cieq&otracker=categorytree&otracker=nmenu_sub_Men_0_Sweater&page=
tracksuits,https://www.flipkart.com/clothing-and-accessories/tracksuit/men-tracksuit/pr?sid=clo%2Cnyk%2Czp4&otracker=categorytree&otracker=nmenu_sub_Men_0_Tracksuits&page=
raincoat,https://www.flipkart.com/clothing-and-accessories/~cs-4ayq68p3ip/pr?sid=clo&collection-tab-name=Raincoats+And+Windcheaters&otracker=nmenu_sub_Men_0_Raincoats+%26+Windcheaters&page=
fasttrack,https://www.flipkart.com/watches/fastrack~brand/pr?sid=r18&otracker=nmenu_sub_Men_0_Fastrack&page=
casio,https://www.flipkart.com/watches/casio~brand/pr?sid=r18&otracker=nmenu_sub_Men_0_Casio&page=
titans,https://www.flipkart.com/watches/titan~brand/pr?sid=r18&otracker=nmenu_sub_Men_0_Titan&page=
fossil,https://www.flipkart.com/watches/fossil~brand/pr?sid=r18&otracker=nmenu_sub_Men_0_Fossil&page=
sonata,https://www.flipkart.com/watches/sonata~brand/pr?sid=r18&otracker=nmenu_sub_Men_0_Sonata&page=
backpacks,https://www.flipkart.com/bags-wallets-belts/bags-backpacks/backpacks/pr?sid=reh%2C4d7%2Cak9&otracker=nmenu_sub_Men_0_Backpacks&page=
wallets,https://www.flipkart.com/bags-wallets-belts/wallets-clutches/wallets/pr?sid=reh%2Ccca%2Ch76&marketplace=FLIPKART&p%5B%5D=facets.ideal_for%255B%255D%3DMen&p%5B%5D=facets.ideal_for%255B%255D%3DBoys&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&otracker=nmenu_sub_Men_0_Wallets&page=
glasses,https://www.flipkart.com/bags-wallets-belts/belts/~men/pr?sid=reh%2Cwq9&otracker=nmenu_sub_Men_0_Belts&page=
jewellery,https://www.flipkart.com/bags-wallets-belts/belts/~men/pr?sid=reh%2Cwq9&otracker=nmenu_sub_Men_0_Belts&page=
adidas,https://www.flipkart.com/mens-footwear/pr?sid=osp%2Ccil&otracker=nmenu_sub_Men_0_Footwear&p%5B%5D=facets.brand%255B%255D%3DADIDAS&p%5B%5D=facets.brand%255B%255D%3DADIDAS%2BNEO&p%5B%5D=facets.brand%255B%255D%3DADIDAS%2BORIGINALS&otracker=nmenu_sub_Men_0_Adidas&page=
reebock,https://www.flipkart.com/mens-footwear/reebok~brand/pr?sid=osp%2Ccil&otracker=nmenu_sub_Men_0_Reebok&page=
sketchers,https://www.flipkart.com/mens-footwear/skechers~brand/pr?sid=osp%2Ccil&otracker=nmenu_sub_Men_0_Skechers&page=
nike,https://www.flipkart.com/mens-footwear/nike~brand/pr?sid=osp%2Ccil&otracker=nmenu_sub_Men_0_Nike&page=
women_topwear,https://www.flipkart.com/clothing-and-accessories/topwear/pr?sid=clo%2Cash&p%5B%5D=facets.ideal_for%255B%255D%3DWomen&p%5B%5D=facets.ideal_for%255B%255D%3Dwomen&otracker=categorytree&otracker=nmenu_sub_Women_0_Topwear&page=
women_dress,https://www.flipkart.com/clothing-and-accessories/dresses-and-gown/dress/women-dress/pr?sid=clo%2Codx%2Cmaj%2Cjhy&otracker=categorytree&otracker=nmenu_sub_Women_0_Dresses&page=
women_jeans,https://www.flipkart.com/clothing-and-accessories/bottomwear/jeans/women-jeans/pr?sid=clo%2Cvua%2Ck58%2C4hp&otracker=categorytree&otracker=nmenu_sub_Women_0_Jeans&page=
women_shorts,https://www.flipkart.com/clothing-and-accessories/bottomwear/shorts/women-shorts/pr?sid=clo%2Cvua%2Ce8g%2Chbd&otracker=categorytree&otracker=nmenu_sub_Women_0_Shorts&page=
women_tights,https://www.flipkart.com/clothing-and-accessories/bottomwear/~cs-hdgz8fjfgm/pr?sid=clo%2Cvua&collection-tab-name=Tights+And++Legging&otracker=nmenu_sub_Women_0_Jeggings+%26+Tights&page=
women_skirts,https://www.flipkart.com/clothing-and-accessories/bottomwear/skirts/women-skirts/pr?sid=clo%2Cvua%2Ciku%2Cw5t&otracker=categorytree&otracker=nmenu_sub_Women_0_Skirts&page=
women_capris,https://www.flipkart.com/clothing-and-accessories/bottomwear/~cs-g50m8job1g/pr?sid=clo%2Cvua&collection-tab-name=Trousers+and+Capris&otracker=nmenu_sub_Women_0_Trousers+%26+Capris&page=
women_partydress,https://www.flipkart.com/clothing-and-accessories/dresses-and-gown/dress/women-dress/pr?sid=clo%2Codx%2Cmaj%2Cjhy&otracker=categorytree&p%5B%5D=facets.occasion%255B%255D%3DParty&otracker=nmenu_sub_Women_0_Party+Dresses&page=
women_sportswear,https://www.flipkart.com/clothing-and-accessories/~cs-xy1011hvj1/pr?sid=clo&collection-tab-name=Sports+and+Gym+Wear&otracker=nmenu_sub_Women_0_Sports+Wear&page=
women_winterwear,https://www.flipkart.com/clothing-and-accessories/winter-wear/pr?sid=clo%2Cqvw&otracker=categorytree&p%5B%5D=facets.ideal_for%255B%255D%3DWomen&otracker=nmenu_sub_Women_0_Winter+Wear&page=
women_footwear,https://www.flipkart.com/womens-footwear/pr?sid=osp%2Ciko&otracker=nmenu_sub_Women_0_Footwear&page=
women_sandals,https://www.flipkart.com/womens-footwear/~womens-sandals/pr?sid=osp%2Ciko&otracker=nmenu_sub_Women_0_Sandals&page=
women_flats,https://www.flipkart.com/womens-footwear/flats/pr?sid=osp%2Ciko%2C9d5&otracker=nmenu_sub_Women_0_Flats&page=
women_heels,https://www.flipkart.com/womens-footwear/heels/pr?sid=osp%2Ciko%2C6q1&otracker=nmenu_sub_Women_0_Heels&page=
women_wedges,https://www.flipkart.com/womens-footwear/wedges/pr?sid=osp%2Ciko%2Cjpm&otracker=nmenu_sub_Women_0_Wedges&page=
women_shoe,https://www.flipkart.com/womens-footwear/~sports-casual-shoes/pr?sid=osp%2Ciko&otracker=nmenu_sub_Women_0_Shoes&page=
women_sports_shoe,https://www.flipkart.com/womens-footwear/sports-shoes/pr?sid=osp%2Ciko%2Cd20&otracker=nmenu_sub_Women_0_Sports+Shoes&page=
women_casual_shoe,https://www.flipkart.com/womens-footwear/casual-shoes/pr?sid=osp%2Ciko%2Csx7&otracker=nmenu_sub_Women_0_Casual+Shoes&page=
women_boots,https://www.flipkart.com/womens-footwear/boots/pr?sid=osp%2Ciko%2Cxgp&otracker=nmenu_sub_Women_0_Boots&page=
women_ballerines,https://www.flipkart.com/womens-footwear/boots/pr?sid=osp%2Ciko%2Cxgp&otracker=nmenu_sub_Women_0_Boots&page=
women_flipflops,https://www.flipkart.com/womens-footwear/slippers-flip-flops/pr?sid=osp%2Ciko%2Ciz7&otracker=nmenu_sub_Women_0_Slippers+%26+Flip-+Flop%27s&page=
watches1,https://www.flipkart.com/watches/wrist-watches/pr?sid=r18%2Cf13&p%5B%5D=facets.ideal_for%255B%255D%3DCouple&p%5B%5D=facets.ideal_for%255B%255D%3DWomen&p%5B%5D=facets.ideal_for%255B%255D%3DMen%2B%2526%2BWomen&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D999&wid=15.productCard.PMU_V2_4&page=
watches2,https://www.flipkart.com/watches/wrist-watches/pr?sid=r18%2Cf13&p%5B%5D=facets.ideal_for%255B%255D%3DCouple&p%5B%5D=facets.ideal_for%255B%255D%3DWomen&p%5B%5D=facets.ideal_for%255B%255D%3DMen%2B%2526%2BWomen&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D699&wid=16.productCard.PMU_V2_5&page=
watches3,https://www.flipkart.com/watches/wrist-watches/pr?sid=r18%2Cf13&p%5B%5D=facets.ideal_for%255B%255D%3DCouple&p%5B%5D=facets.ideal_for%255B%255D%3DWomen&p%5B%5D=facets.ideal_for%255B%255D%3DMen%2B%2526%2BWomen&p%5B%5D=facets.price_range.from%3DMin&p%5B%5D=facets.price_range.to%3D399&wid=18.productCard.PMU_V2_6&page=
chains,https://www.flipkart.com/jewellery/artificial-jewellery/pendants-lockets/pr?sid=mcr%2C96v%2Cbtd&sort=popularity&hpid=4Fkrto6L4j1dHc4DtClDGap7_Hsxr70nj65vMAAFKlc%3D&fm=neo%2Fmerchandising&iid=M_e8a94d6b-bee2-4f94-ac8c-e98c9e220d4e_1.3D4N3QNCK7EZ&ppt=clp&ppn=fashion-jewellery-store&ssid=bc1r2r75ls0000001633877163095&otracker=dynamic_omu_infinite_Earrings%252C%2BRings%252C%2BJewellery%2BSet_2_1.dealCard.OMU_INFINITE_3D4N3QNCK7EZ&cid=3D4N3QNCK7EZ&page=
